 Sites Name , site ID , Region , District , Site Status (Grid/Prime) , ESCOM , Tank Size , Opening  Litres , Litres Dispensed , Closing Litres , Usage in Litres , Opening Hours , Closing Hours , Hours Run , Average Usage Per Hour , Opening Readings , Units Bought , Closing Readings , Power Usage 
 KATULI , TN34012 , South , Mangochi , GRID , PREPAID , 600 , 302 , 320 , 538 , 538 ," 10,501 "," 10,543 ", 42 , 13 ," 2,722 ", -   , -   , -   
 NANKHWALI , TN34034 , South , Mangochi , OFF GRID , PREPAID , 600 , 476 , -   , 476 , 476 ," 12,601 "," 12,601 ", -   ,#DIV/0!, B/O , -   , -   , -   
 NKHUZIBAY , TN34038 , South , Mangochi , OFF GRID  , PREPAID , 600 , 285 , -   , 193 , 193 ," 19,225 "," 19,271 ", 46 , 4 , B/O , -   , -   , -   
 CHING'OMBE , TN34007 , South , Mangochi , GRID , PREPAID , 600 , 600 , -   , 584 , 584 ," 29,026 "," 29,034 ", 8 , 73 ," 2,863 ", -   , -   , -   
 NKOPOLA , TN34039 , South , Mangochi , GRID , PREPAID , 600 , 451 , 149 , 524 , 524 ," 8,785 "," 8,811 ", 26 , 20 ," 1,209 ", -   , -   , -   
 LULANGA , TN34015 , South , Mangochi , OFF GRID  , OFFGRID ," 1,000 ", 730 , -   , 474 , 474 ," 14,532 "," 14,596 ", 64 , 7 ,, -   , -   , -   
 Nambande Backup Dg , TN34031 , South , Mangochi , OFF GRID  , OFFGRID , 600 , 534 , -   , 534 , 534 ," 9,380 "," 9,380 ", -   ,#DIV/0!,, -   , -   , -   
 Mulibwanji  , TN34029 , South , Mangochi , OFF GRID  , OFFGRID ," 1,000 ",, -   ,,,,, -   ,#DIV/0!,, -   , -   , -   
 MOBILE DG MH , TNMSRMOB02 , South , Mangochi ,, AT NKHUDZIBAY , 600 , 300 , -   , 300 , 300 , 15 , 15 , -   ,#DIV/0!,, -   , -   , -   
 MH MTL , TN34021 , South , Mangochi , GRID  , PREPAID  ," 1,000 ", 993 , -   , 765 , 765 ," 9,427 "," 9,498 ", 71 , 11 ,, -   , -   , -   
 LUGOLA , TN34044 , South , Mangochi , OFF GRID  , PREPAID  ," 1,000 "," 1,071 ", -   , 455 , 455 ," 8,287 "," 8,595 ", 308 , 1 ,, -   , -   , -   
 MH KARONGA , TN34052 , South , Mangochi , OFF GRID  , PREPAID  ," 1,000 ", 860 , -   , 703 , 703 ," 16,403 "," 16,474 ", 71 , 10 ,, -   , -   , -   
 LUNGWENA  , TN34045 , South , Mangochi , OFF GRID  , PREPAID  , 600 , 577 , 873 , 865 , 865 ," 6,859 "," 7,054 ", 195 , 4 ,, -   , -   , -   
 Mbaluku , TN34047 , South , Mangochi , GRID , PREPAID  , 600 , 100 , -   , 74 , 74 , 806 , 819 , 13 , 6 ,, -   , -   , -   
 Makunganya , TN34046 , South , Mangochi , OFF GRID  , PREPAID  , 600 , 372 ," 1,000 "," 1,000 "," 1,000 "," 8,893 "," 9,248 ", 355 , 3 ,, -   , -   , -   
 Chembe  , TN34013 , South , Mangochi , OFF GRID  , PREPAID  , 600 , 243 , -   , 215 , 215 ," 27,170 "," 27,184 ", 14 , 15 ,, -   , -   , -   
 Majiga 1 , TN32021 , South , Balaka , OFF GRID  , PREPAID  , 600 , 600 , 906 ," 1,000 "," 1,000 "," 2,611 "," 2,794 ", 183 , 5 ,, -   , -   , -   
 Dziwe , TN32022 , South , Balaka , OFF GRID  , PREPAID  ," 1,000 ", 770 , 552 , 800 , 800 ," 2,171 "," 2,286 ", 115 , 7 ,, -   , -   , -   
 Chapola , TN31036 , South , Balaka , OFF GRID , PREPAID  , 600 , 412 , 642 , 620 , 620 ," 2,099 "," 2,253 ", 154 , 4 ,, -   , -   , -   
