Site Name,SITE ID,Region,District,Site Status (Grid/Prime),Escom,Tank Size,Opening Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,,,,
Kabungwe,TN23204 ,Lilongwe,Mchinji,Grid,Prepaid,1000,1000,0,1000,0,2222,2222,0,#DIV/0!,0,0,0,0,,,,
Chilinde Mosque,TN20212 ,Lilongwe,Lilongwe,Grid,Prepaid,600,550,0,550,0,411,411,0,#DIV/0!,0,0,0,0,,,,
Katete BYPASS,TN20051 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,700,263,223,740,10309,10560,251, 2.9 ,0,0,0,0,,,,
Area 25 A,TN20039 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,561,0,561,0,9743,9743,0,#DIV/0!,0,0,0,0,,,,
LINTHIPE 3,TN22009 ,Lilongwe,Dedza,Grid,Prepaid,1000,580,500,550,530,8541,8688,147, 3.6 ,0,0,0,0,,,,
Area 49 New Shire,TN20076 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,750,0,645,105,12261,12303,42, 2.5 ,0,0,0,0,,,,
Chisinga,TN23099 ,Lilongwe,Kasungu,Grid,Prepaid,1000,810,0,440,370,8299,8463,164, 2.3 ,0,0,0,0,,,,
NEW GULLIVER,TN20174 ,Lilongwe,Lilongwe,Grid,Prepaid,600,539,0,519,20,14179,14187,8, 2.5 ,0,0,0,0,,,,
LUMBADZI RESIDENTIAL,TN20211 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,0,430,570,2925,3101,176, 3.2 ,0,0,0,0,,,,
MALEMBO,TN23135 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,750,0,750,0,4318,4321,3, -   ,0,0,0,0,,,,
WAKAWAKA,TN20056 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,375,200,540,35,6740,6812,72, 0.5 ,0,0,0,0,,,,
KAFUMU,TN27004 ,Lilongwe,Salima,Grid,Prepaid,1000,450,300,500,250,3968,4052,84, 3.0 ,0,0,0,0,,,,
NKHOTA-KOTA NEW,TN26011 ,Lilongwe,Nkhotakota,Grid,Prepaid,600,600,586,600,586,16252,16464,212, 2.8 ,0,0,0,0,,,,
KASUNTHA,TN24006 ,Lilongwe,Dowa,Grid,Prepaid,1000,118,0,118,0,4877,4877,0,#DIV/0!,0,0,0,0,,,,
SALIMA SUGAR,TN27021 ,Lilongwe,Salima,Grid,Prepaid,500,455,0,430,25,32942,32954,12, 2.1 ,0,0,0,0,,,,
GUEST HOUSE AREA 10,TNMLLRes,Lilongwe,Lilongwe,Grid,Prepaid,60,83,0,73,10,680,682,2, 5.0 ,0,0,0,0,,,,
AREA 47 MTL,TN20064 ,Lilongwe,Lilongwe,Grid,Prepaid,500,500,0,500,0,9707,9707,0,#DIV/0!,0,0,0,0,,,,
BWEMBA,TN20096 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,521,690,831,6542,6921,379, 2.2 ,0,0,0,0,,,,
AREA 49 BARGDAD,TN20071 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,886,700,430,1156,1614,2097,483, 2.4 ,0,0,0,0,,,,
AREA10 USAID,TN20009 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,770,0,770,0,5508,5508,0,#DIV/0!,0,0,0,0,,,,
AREA 25 KABWABWA,TN20035 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,0,900,100,16056,16144,88, 1.1 ,0,0,0,0,,,,
AREA 25 Zibwenze,TN20042 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,425,0,425,0,7301,7301,0,#DIV/0!,0,0,0,0,,,,
AREA 36 LOWER,TN20053 ,Lilongwe,Lilongwe,Grid,Prepaid,600,480,0,475,5,24421,24423,2, 2.5 ,0,0,0,0,,,,
UPPER BIWI,TN20172 ,Lilongwe,Lilongwe,Grid,Prepaid,600,50,0,50,0,6778,6778,0,#DIV/0!,0,0,0,0,,,,
WHITE FALLS,TN20006 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,0,600,0,14155,14155,0,#DIV/0!,0,0,0,0,,,,
AREA 13,TN20012 ,Lilongwe,Lilongwe,Grid,Prepaid,600,798,0,520,278,1528,1528,0,#DIV/0!,0,0,0,0,,,,
