Sites Name,Site ID,Region,District,Site Status         (Grid/Prime),ESCOM,Tank Size,Opening  Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage
NKHORONGO,TN15008,North,MZUZU,Grid,Prepaid,600,534,0,530,4,7644,7647,3, 1.3 ,500,2927,870,2557
MZUZU CHIBANJA,TN13017,North,MZUZU,Grid,Prepaid,1000,810,0,810,0,7045,7045,0,#DIV/0!,447,3658,550,3555
KATOTO,TN10052,North,MZUZU,Grid,Prepaid,60,568,0,530,38,7676,7700,24, 1.6 ,900,2927,1999,1828
MCHENGAUTUBA,TN13001,North,MZUZU,Grid,Prepaid,1000,870,0,800,70,3536,3558,22, 3.2 ,1008,5124,758,5374
LUSANGAZI,TN15004,North,MZUZU,Grid,Prepaid,600,410,0,410,0,1603,1603,0,#DIV/0!,950,2927,1005,2872
LUWAWA FOREST,TN12025,North,MZIMBA,OFFGRID,Prepaid,800,430,777,570,637,1257,1434,177, 3.6 ,0,0,0,0
LWANJATI,TN10063,North,MZIMBA,OFFGRID,Prepaid,800,430,770,528,672,30787,30969,182, 3.7 ,0,0,0,0
JENDA,TN15033,North,MZIMBA,Grid,Prepaid,1000,715,0,580,135,4381,4431,50, 2.7 ,840,3303,500,3643
EDINGENI,TN13010,North,MZIMBA,Grid,Prepaid,600,550,0,510,40,12312,12333,21, 1.9 ,1257,2927,650,3534
LUPERERE,TN13019,North,MZIMBA,OFFGRID,Prepaid,600,480,452,384,548,24080,24235,155, 3.5 ,0,0,0,0
MANYAMULA,TN15012,North,MZIMBA,Grid,Prepaid,600,600,0,500,100,14538,13066,-1472,-0.1 ,1029,2927,800,3156
ESWAZINI,TN15022,North,MZIMBA,Grid,Prepaid,600,420,498,500,418,9699,9805,106, 3.9 ,0,0,0,0
MPHEREMBE,TN11004,North,MZIMBA,Grid,Prepaid,600,1000,0,950,50,4601,4625,24, 2.1 ,999,2927,911,3015
RUMPHI TOWN,TN13013,North,RUMPHI,Grid,Prepaid,600,515,133,585,63,10068,10097,29, 2.2 ,600,2927,900,2627
BOLERO,TN10064,North,RUMPHI,Grid,Prepaid,210,525,286,600,211,11733,11764,31, 6.8 ,500,3306,920,2886
THAZIMA,TN13014,North,RUMPHI,OFFGRID,Prepaid,1000,1000,771,770,1001,8437,8765,328, 3.1 ,0,0,0,0
CHILINDA/CHOSI,TN14021,North,RUMPHI,OFFGRID,Prepaid,1000,798,600,329,1069,12567,12891,324, 3.3 ,0,0,0,0
DOMWE,TN10068,North,RUMPHI,OFFGRID,Prepaid,1000,856,900,380,1376,7051,7321,270, 5.1 ,0,0,0,0
MPHOMPHA,TN10010,North,RUMPHI,OFFGRID,Prepaid,1000,880,0,700,180,5421,5501,80, 2.3 ,0,0,0,0
PHWEZI,TN11005,North,RUMPHI,Grid,Prepaid,210,206,0,110,96,14457,14504,47, 2.0 ,1102,2561,500,3163
MLOWE,TN10072,North,RUMPHI,OFFGRID,Prepaid,800,550,401,680,271,34248,34368,120, 2.3 ,0,0,0,0
JALAWE,TN15011,North,RUMPHI,Grid,Prepaid,210,204,0,204,0,4314,4314,0,#DIV/0!,1520,0,1011,509
MWEYEYE,TN15035,North,RUMPHI,Grid,Prepaid,600,480,0,400,80,6682,6726,44, 1.8 ,800,0,1089,-289
LIVINGSTONIA,TN15009,North,RUMPHI,Grid,Prepaid,600,476,0,460,16,4326,4336,10, 1.6 ,0,0,0,0
CHITIMBA,TN11001,North,KARONGA,Grid,Prepaid,800,562,0,540,22,13387,13406,19, 1.2 ,1561,2561,891,3231
UNDANINGE,TN11007,North,KARONGA,Grid,Prepaid,1000,875,0,830,45,2331,2358,27, 1.7 ,0,0,0,0
