Site Name,SITE ID,Region,District,Site Status (Grid/Prime),Escom,Tank Size,Opening Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,,,,
Mchinji,TN28006 ,Lilongwe,Mchinji,Grid,Prepaid,600,600,208,600,208,18164,18256,92, 2.3 ,0,0,0,0,,Mchinji,,
Mwami,TN28010 ,Lilongwe,Mchinji,Grid,Prepaid,600,600,0,560,40,12544,12563,19, 2.1 ,0,0,0,0,,Mwami,,
Mikundi,TN28008 ,Lilongwe,Mchinji,Grid,Prepaid,500,400,0,335,65,13105,13131,26, 2.5 ,0,0,0,0,,Mikundi,,
Mpanda,TN24011 ,Lilongwe,Dowa,Grid,Prepaid,1000,630,0,540,90,4990,5037,47, 1.9 ,0,0,0,0,,Mpanda,,
Kasungu Shop,TNMShop,Lilongwe,Kasungu,Grid,Prepaid,100,100,36,100,36,10369,10392,23, 1.6 ,0,0,0,0,,Kasungu Shop,,
Kanjuchi,TN15038 ,Lilongwe,Kasungu,Grid,Prepaid,1000,500,800,1000,300,2456,2545,89, 3.4 ,0,0,0,0,,Kanjuchi,,
Salima Hospital,TN27020 ,Lilongwe,Salima,Grid,Prepaid,1000,666,0,666,0,8017,8017,0,#DIV/0!,0,0,0,0,,Salima Hospital,,
Salima Depot,TN27019 ,Lilongwe,Salima,Grid,Prepaid,600,440,0,440,0,12951,12951,0,#DIV/0!,0,0,0,0,,Salima Depot,,
Lifuwu,TN27011 ,Lilongwe,Salima,Prime,Prepaid,800,658,0,658,0,23573,23573,0,#DIV/0!,0,0,0,0,,Lifuwu,,
Silversand,TN27023 ,Lilongwe,Salima,Grid,Prepaid,600,511,0,468,43,13791,13827,36, 1.2 ,0,0,0,0,,Silversand,,
Kambiri,TN27005 ,Lilongwe,Salima,Grid,Prepaid,500,300,0,295,5,18631,18644,13, 0.4 ,0,0,0,0,,Kambiri,,
Flea Market,TN20107 ,Lilongwe,Lilongwe,Grid,Prepaid,600,0,0,-,#VALUE!,3952,3952,0,#VALUE!,0,0,0,0,,Flea Market,,
Salima Shop,TNMShop,Lilongwe,Salima,Grid,Prepaid,120,140,87,140,87,5734,5777,43, 2.0 ,0,0,0,0,,Salima Shop,,
Kauma,TN20122 ,Lilongwe,Lilongwe,Grid,Prepaid,600,414,0,262,152,6400,6438,38, 4.0 ,0,0,0,0,,Kauma,,
Area 6,TN20206 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,460,850,630,680,5386,5629,243, 2.8 ,0,0,0,0,,Area 6,,
Maliri,TN23085 ,Lilongwe,Lilongwe,Grid,Prepaid,100,350,500,420,430,2125,2320,195, 2.2 ,0,0,0,0,,Maliri,,
Chisepo,TN24020 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,500,620,880,1963,2310,347, 2.5 ,0,0,0,0,,Chisepo,,
Malangalanga SHOP,TN20140 ,Lilongwe,Lilongwe,Grid,Prepaid,35,22,0,22,0,803,803,0,#DIV/0!,0,0,0,0,,Malangalanga SHOP,,
