Site Name,SITE ID,Region,District,Site Status (Grid/Prime),Escom,Tank Size,Opening Litres,Litres Dispensed,Closing Litres,Usage in Litres,Opening Hours,Closing Hours,Hours Run, Average Usage Per Hour ,Opening Readings,Units Bought,Closing Readings,Power Usage,,
Nkhota- kota,TN26010 ,Lilongwe,Nkhotakota,Grid,Prepaid,1000,820,0,668,152,3333,3394,61, 2.5 ,0,0,0,0,,Nkhota- kota
Airwing,TN20210 ,Lilongwe,Lilongwe,Grid,Prepaid,600,720,300,580,440,7985,8173,188, 2.3 ,0,0,0,0,,Airwing
Benga,TN26015 ,Lilongwe,Salima,Off Grid,Prepaid,600,462,0,438,24,17275,17304,29, 0.8 ,0,0,0,0,,Benga
Salima MTL,TN27018 ,Lilongwe,Salima,Grid,Prepaid,600,290,135,290,135,1174,1174,0,#DIV/0!,0,0,0,0,,Salima MTL
Area 12 Proper,TN20214 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,20,0,20,0,371,371,0,#DIV/0!,0,0,0,0,,Area 12 Proper
Livingstonia beach,TN27012 ,Lilongwe,Salima,Grid,Prepaid,500,250,0,300,-50,17377,17377,0,#DIV/0!,0,0,0,0,,Livingstonia beach
Lifidzi,TN27010 ,Lilongwe,Salima,Grid,Prepaid,1000,370,0,370,0,3515,3541,26, -   ,0,0,0,0,,Lifidzi
Bisai,TN22020 ,Lilongwe,Dedza,Grid,Prepaid,1000,744,0,430,314,2695,2770,75, 4.2 ,0,0,0,0,,Bisai
Ngodzi,TN27016 ,Lilongwe,Salima,Grid,Prepaid,1000,300,465,515,250,12639,12785,146, 1.7 ,0,0,0,0,,Ngodzi
Mua,TN27014 ,Lilongwe,Dedza,Grid,Prepaid,600,600,298,600,298,22644,22712,68, 4.4 ,0,0,0,0,,Mua
Mtakataka,TN27013 ,Lilongwe,Dedza,Grid,Prepaid,600,570,432,600,402,15651,15814,163, 2.5 ,0,0,0,0,,Mtakataka
Chankhungu,TN25003 ,Lilongwe,Lilongwe,Grid,Prepaid,600,345,0,327,18,16332,16338,6, 3.0 ,0,0,0,0,,Chankhungu
Mvera Proper,TN24014 ,Lilongwe,Salima,Grid,Prepaid,500,300,0,265,35,8311,8325,14, 2.5 ,0,0,0,0,,Mvera Proper
Mabulabo,TN25018 ,Lilongwe,Mzimba,Off Grid,Prepaid,800,650,0,650,0,35635,35635,0,#DIV/0!,0,0,0,0,,Mabulabo
Nkhamenya,TN25021 ,Lilongwe,Kasungu,Grid,Prepaid,500,325,332,500,157,4840,4840,0,#DIV/0!,0,0,0,0,,Nkhamenya
Chatoloma,TN25004 ,Lilongwe,Kasungu,Grid,Prepaid,1000,800,500,700,600,1080,1152,72, 8.3 ,0,0,0,0,,Chatoloma
East African Plantation,TN25028 ,Lilongwe,Kasungu,Grid,Prepaid,225,200,0,200,0,3282,3282,0,#DIV/0!,0,0,0,0,,East African Plantation
Malandi Hill,TN24022 ,Lilongwe,Dowa,Grid,Prepaid,1000,830,0,830,0,2099,2099,0,#DIV/0!,0,0,0,0,,Malandi Hill
Chayamba,TN25011 ,Lilongwe,Kasungu,Grid,Prepaid,1000,1000,0,400,600,326,73,-253,-2.4 ,0,0,0,0,,Chayamba
Linyangwa,TN25017 ,Lilongwe,Kasungu,Prime,Prepaid,1000,620,490,790,320,3211,3304,93, 3.4 ,0,0,0,0,,Linyangwa
Chioko,TN24019 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,790,0,790,0,2656,2656,0,#DIV/0!,0,0,0,0,,Chioko
Chamama,TN25002 ,Lilongwe,Kasungu,Grid,Prepaid,500,430,200,500,130,17010,17100,90, 1.4 ,0,0,0,0,,Chamama
Nkhakomisesa,TN25020 ,Lilongwe,Kasungu,Grid,Prepaid,600,500,101,551,50,15939,15991,52, 1.0 ,0,0,0,0,,Nkhakomisesa
Madisi,TN24009 ,Lilongwe,Dowa,Grid,Prepaid,500,400,230,500,130,15764,15838,74, 1.8 ,0,0,0,0,,Madisi
Mchinji Town,TN28007 ,Lilongwe,Mchinji,Grid,Prepaid,1000,840,0,740,100,1659,1709,50, 2.0 ,0,0,0,0,,Mchinji Town
Mwimba,TN25019 ,Lilongwe,Kasungu,Grid,Prepaid,500,360,200,450,110,26567,26667,100, 1.1 ,0,0,0,0,,Mwimba
Santhe,TN25023 ,Lilongwe,Mchinji,Grid,Prepaid,500,330,200,320,210,15793,15915,122, 1.7 ,0,0,0,0,,Santhe
Kapirinthema,TN25010 ,Lilongwe,Kasungu,Grid,Prepaid,500,435,300,350,385,19208,19339,131, 2.9 ,0,0,0,0,,Kapirinthema
Nkanda,TN28009 ,Lilongwe,Mchinji,Grid,Prepaid,500,740,300,730,310,2406,2540,134, 2.3 ,0,0,0,0,,Nkanda
Kamwendo,TN28004 ,Lilongwe,Mchinji,Grid,Prepaid,1000,472,300,500,272,5152,5276,124, 2.2 ,0,0,0,0,,Kamwendo
Mchinji,TN28006 ,Lilongwe,Mchinji,Grid,Prepaid,600,600,0,550,50,18256,18304,48, 1.0 ,0,0,0,0,,Mchinji
Mwami,TN28010 ,Lilongwe,Mchinji,Grid,Prepaid,600,560,226,600,186,12563,12647,84, 2.2 ,0,0,0,0,,Mwami
Mikundi,TN28008 ,Lilongwe,Mchinji,Grid,Prepaid,500,335,350,500,185,13131,13223,92, 2.0 ,0,0,0,0,,Mikundi
Mpanda,TN24011 ,Lilongwe,Dowa,Grid,Prepaid,1000,540,0,540,0,5037,5037,0,#DIV/0!,0,0,0,0,,Mpanda
Kasungu Shop,TNMShop,Lilongwe,Kasungu,Grid,Prepaid,100,100,28,100,28,10392,10392,0,#DIV/0!,0,0,0,0,,Kasungu Shop
Kanjuchi,TN15038 ,Lilongwe,Kasungu,Grid,Prepaid,1000,1000,0,500,500,2545,2545,0,#DIV/0!,0,0,0,0,,Kanjuchi
Salima Hospital,TN27020 ,Lilongwe,Salima,Grid,Prepaid,1000,666,0,300,366,8017,8245,228, 1.6 ,0,0,0,0,,Salima Hospital
Salima Depot,TN27019 ,Lilongwe,Salima,Grid,Prepaid,600,440,297,600,137,12951,105,-12846,-0.0 ,0,0,0,0,,Salima Depot
Lifuwu,TN27011 ,Lilongwe,Salima,Prime,Prepaid,800,658,500,500,658,23573,23745,172, 3.8 ,0,0,0,0,,Lifuwu
Silversand,TN27023 ,Lilongwe,Salima,Grid,Prepaid,600,468,0,330,138,13827,13880,53, 2.6 ,0,0,0,0,,Silversand
Kambiri,TN27005 ,Lilongwe,Salima,Grid,Prepaid,500,295,0,295,0,18644,18644,0,#DIV/0!,0,0,0,0,,Kambiri
Flea Market,TN20107 ,Lilongwe,Lilongwe,Grid,Prepaid,600,0,0,0,0,3952,3952,0,#DIV/0!,0,0,0,0,,Flea Market
Salima Shop,TNMShop,Lilongwe,Salima,Grid,Prepaid,120,140,277,168,249,5777,5912,135, 1.8 ,0,0,0,0,,Salima Shop
Kauma,TN20122 ,Lilongwe,Lilongwe,Grid,Prepaid,600,262,400,300,362,6438,6572,134, 2.7 ,0,0,0,0,,Kauma
Area 6,TN20206 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,630,500,650,480,5629,5775,146, 3.3 ,0,0,0,0,,Area 6
Maliri,TN23085 ,Lilongwe,Lilongwe,Grid,Prepaid,100,420,300,480,240,2320,2405,85, 2.8 ,0,0,0,0,,Maliri
Chisepo,TN24020 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,620,500,1000,120,2310,1963,-347,-0.3 ,0,0,0,0,,Chisepo
Malangalanga SHOP,TN20140 ,Lilongwe,Lilongwe,Grid,Prepaid,35,22,20,23,19,803,811,8, 2.4 ,0,0,0,0,,Malangalanga SHOP
M'buka,TN20054 ,Lilongwe,Lilongwe,Grid,Prepaid,600,595,0,595,0,652,652,0,#DIV/0!,0,0,0,0,,M'buka
Area 49 Mvama,TN20075 ,Lilongwe,Lilongwe,Grid,Prepaid,600,400,60,90,370,16653,16732,79, 4.7 ,0,0,0,0,,Area 49 Mvama
Chilinde Parish,TN20094 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,500,200,320,380,7658,7748,90, 4.2 ,0,0,0,0,,Chilinde Parish
Chimutu,TN20099 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,500,300,430,370,4135,4289,154, 2.4 ,0,0,0,0,,Chimutu
MCP/UNICEF,TN20136 ,Lilongwe,Lilongwe,Grid,Prepaid,600,530,0,530,0,20137,20150,13, -   ,0,0,0,0,,MCP/UNICEF
Maluwa,TN23202 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,506,275,475,306,1775,1849,74, 4.1 ,0,0,0,0,,Maluwa
Chawantha,TN28011 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,700,500,800,2764,3329,565, 1.4 ,0,0,0,0,,Chawantha
Kakoma estate,TN23201 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,690,500,440,750,3957,4247,290, 2.6 ,0,0,0,0,,Kakoma estate
Nthumbidwa,TN17006 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,0,0,0,0,1718,1718,0,#DIV/0!,0,0,0,0,,Nthumbidwa
TECHNICAL  NEW Dg,LLDC003,Lilongwe,Lilongwe,Grid,Prepaid,1000,1000,0,1000,0,648,648,0,#DIV/0!,0,0,0,0,,TECHNICAL  NEW Dg
Kabungwe,TN23204 ,Lilongwe,Mchinji,Grid,Prepaid,1000,1000,0,1000,0,2424,2424,0,#DIV/0!,0,0,0,0,,Kabungwe
Chilinde Mosque,TN20212 ,Lilongwe,Lilongwe,Grid,Prepaid,600,350,0,350,0,411,411,0,#DIV/0!,0,0,0,0,,Chilinde Mosque
Katete BYPASS,TN20051 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,600,400,150,850,10694,10952,258, 3.3 ,0,0,0,0,,Katete BYPASS
Area 25 A,TN20039 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,48,100,400,-252,9777,9934,157,-1.6 ,0,0,0,0,,Area 25 A
LINTHIPE 3,TN22009 ,Lilongwe,Dedza,Grid,Prepaid,1000,1000,330,380,950,8835,9130,295, 3.2 ,0,0,0,0,,LINTHIPE 3
Area 49 New Shire,TN20076 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,645,1800,645,1800,12303,12303,0,#DIV/0!,0,0,0,0,,Area 49 New Shire
Chisinga,TN23099 ,Lilongwe,Kasungu,Grid,Prepaid,1000,1000,0,400,600,8530,8530,0,#DIV/0!,0,0,0,0,,Chisinga
NEW GULLIVER,TN20174 ,Lilongwe,Lilongwe,Grid,Prepaid,600,486,0,374,112,14223,14268,45, 2.5 ,0,0,0,0,,NEW GULLIVER
LUMBADZI RESIDENTIAL,TN20211 ,Lilongwe,Lilongwe,Grid,Prepaid,1000,400,500,180,720,3176,3409,233, 3.1 ,0,0,0,0,,LUMBADZI RESIDENTIAL
